source,target,relationship_type,method,confidence,evidence
38128,156/2013/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,Căn cứ Nghị định số 156/2013/NĐ-CP
38128,40/2012/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,Căn cứ Nghị định số 40/2012/NĐ-CP
23/2009/TT-NHNN,38128,THAY_THE_BOI,rule_extraction,1.0,"Điều 21. Điều khoản thi hành Thông tư này có hiệu lực thi hành từ ngày 12 tháng 01 năm 2015 và thay thế Thông tư số 23/2009/TT-NHNN ngày 02/12/2009 quy định việc thiết kế mẫu, chế bản và quản lý in, đúc tiền Việt Nam. Điều 22. Trách nhiệm tổ chức thực..."
26750,51/2001/QH10,THAM_CHIEU,rule_extraction,0.95,"...n cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam năm 1992 đã được sửa đổi, bổ sung một số điều theo Nghị quyết số 51/2001/QH10; Quốc hội ban hành Luật Kiểm toán độc lập,"
163441,47/2020/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,"...iểm với các cơ sở dữ liệu quốc gia và các cơ sở dữ liệu chuyên ngành khác được thực hiện theo quy định tại Nghị định số 47/2020/NĐ-CP ngày 09 tháng 4 năm 2020 của Chính phủ về quản lý, kết nối và chia sẻ dữ liệu số trong cơ quan nhà nước và pháp luật ch..."
163441,112025,THAM_CHIEU,rule_extraction,0.95,"...c ngày 01 tháng 01 năm 2028, vốn điều lệ, vốn chủ sở hữu không thấp hơn vốn pháp định quy định tại Điều 10 Nghị định số 73/2016/NĐ-CP; từ ngày 01 tháng 01 năm 2028, vốn điều lệ, vốn chủ sở hữu không thấp hơn vốn điều lệ tối thiểu theo quy định tại Điều ..."
163441,08/2022/QH15,THAM_CHIEU,rule_extraction,0.95,...ên kết đơn vị phải đảm bảo tuân thủ quy định chung về nguyên tắc đầu tư tại khoản 2 Điều 99 Luật Kinh doanh bảo hiểm số 08/2022/QH15. 2. Hạn mức đầu tư của từng quỹ liên kết đơn vị:
163441,112025,SUA_DOI_BO_SUNG,rule_extraction,1.0,"4. Nghị định này thay thế các văn bản sau: a) Nghị định số 73/2016/NĐ-CP ngày 01 tháng 7 năm 2016 của Chính phủ quy định chi tiết thi hành Luật Kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một..."
163441,151/2018/NĐ-CP,SUA_DOI_BO_SUNG,rule_extraction,1.0,"b) Chương III Nghị định số 151/2018/NĐ-CP ngày 07 tháng 11 năm 2018 của Chính phủ sửa đổi, bổ sung một số Nghị định quy định về điều kiện đầu tư, kinh doanh thuộ..."
163441,80/2019/NĐ-CP,SUA_DOI_BO_SUNG,rule_extraction,1.0,"c) Điều 1 Nghị định số 80/2019/NĐ-CP ngày 01 tháng 11 năm 2019 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 73/2016/NĐ-CP ngày 01 tháng 7 năm..."
163441,98/2013/NĐ-CP,SUA_DOI_BO_SUNG,rule_extraction,1.0,"... tiết thi hành Luật Kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một số điều của Luật Kinh doanh bảo hiểm, Nghị định số 98/2013/NĐ-CP ngày 28 tháng 8 năm 2013 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực kinh doanh bảo hiểm, kinh ..."
163441,48/2018/NĐ-CP,SUA_DOI_BO_SUNG,rule_extraction,1.0,"... hành chính trong lĩnh vực kinh doanh bảo hiểm, kinh doanh xổ số đã được sửa đổi, bổ sung một số điều theo Nghị định số 48/2018/NĐ-CP ngày 21 tháng 3 năm 2018 của Chính phủ. Điều 123. Trách nhiệm thi hành"
163441,14/2023/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,"Căn cứ Luật Kinh doanh bảo hiểm số 08/2022/QH15 ngày 16/6/2022; Căn cứ Nghị định số 14/2023/NĐ-CP ngày 20/4/2023 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Tài chính;"
163441,16/2022/QH15,THAM_CHIEU,rule_extraction,0.95,BỘ TRƯỞNG BỘ TÀI CHÍNH Căn cứ Luật Kinh doanh bảo hiểm số 16/2022/QH15 ngày 16/6/2022;
146468,108/2013/NĐ-CP,SUA_DOI_BO_SUNG,rule_extraction,1.0,1. Nghị định này có hiệu lực thi hành từ ngày 01 tháng 01 năm 2021. 2. Nghị định số 108/2013/NĐ-CP ngày 23 tháng 9 năm 2013 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứ...
146468,145/2016/NĐ-CP,SUA_DOI_BO_SUNG,rule_extraction,1.0,"... của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán và Nghị định số 145/2016/NĐ-CP ngày 01 tháng 11 năm 2016 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 108/2013/NĐ-CP ngày 23 tháng 9 nă..."
168220,2024/TT-NHNN,THAM_CHIEU,rule_extraction,0.95,"---------------------------- Số: 27 /2024/TT-NHNN Hà Nội, ngày 28 tháng 6 năm 2024"
168220,102/2022/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,"Căn cứ Luật Hợp tác xã ngày 20 tháng 6 năm 2023; Căn cứ Nghị định số 102/2022/NĐ-CP ngày 12 tháng 12 năm 2022 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nướ..."
31/2012/TT-NHNN,168220,THAY_THE_BOI,rule_extraction,1.0,2. Thông tư này bãi bỏ: a) Thông tư số 31/2012/TT-NHNN ngày 26 tháng 11 năm 2012 của Thống đốc Ngân hàng Nhà nước quy định về ngân hàng hợp tác xã;
168220,09/2016/TT-NHNN,SUA_DOI_BO_SUNG,rule_extraction,1.0,"b) Thông tư số 09/2016/TT-NHNN ngày 17 tháng 6 năm 2016 sửa đổi, bổ sung một số điều của Thông tư số 31/2012/TT-NHNN ngày 26/11/2012 của Thống đốc Ngâ..."
168220,31/2012/TT-NHNN,SUA_DOI_BO_SUNG,rule_extraction,1.0,"b) Thông tư số 09/2016/TT-NHNN ngày 17 tháng 6 năm 2016 sửa đổi, bổ sung một số điều của Thông tư số 31/2012/TT-NHNN ngày 26/11/2012 của Thống đốc Ngân hàng Nhà nước quy định về ngân hàng hợp tác xã;"
168220,03/2014/TT-NHNN,THAM_CHIEU,gemini_classification,0.9,c) Thông tư số 03/2014/TT-NHNN ngày 23 tháng 01 năm 2014 của Thống đốc Ngân hàng Nhà nước quy định về Quỹ đảm bảo an toàn hệ thống quỹ tín dụng nhân d...
168220,21/2019/TT-NHNN,SUA_DOI_BO_SUNG,rule_extraction,1.0,"d) Điều 1 và Điều 5 Thông tư số 21/2019/TT-NHNN ngày 14 tháng 11 năm 2019 sửa đổi, bổ sung một số điều của các Thông tư quy định về ngân hàng hợp tác xã, quỹ tín dụng ..."
168220,24/2023/TT-NHNN,SUA_DOI_BO_SUNG,rule_extraction,1.0,"đ) Điều 1 Thông tư số 24/2023/TT-NHNN ngày 30 tháng 12 năm 2023 sửa đổi, bổ sung một số điều của các Thông tư liên quan đến việc nộp, xuất trình, cung cấp th..."
168220,21/2023/TT-NHNN,SUA_DOI_BO_SUNG,rule_extraction,1.0,"đ) Điều 2 Thông tư 21/2023/TT-NHNN sửa đổi, bổ sung một số điều của các Thông tư liên quan đến hoạt động kinh doanh thuộc phạm vi, chức năng quản lý của N..."
133858,68/2000/NĐ-CP,THAM_CHIEU,gemini_classification,0.9,"...oản đóng góp theo lương của số người lao động hiện có (bao gồm: số biên chế có mặt, lao động hợp đồng theo Nghị định số 68/2000/NĐ-CP ngày 17 tháng 11 năm 2000 của Chính phủ và lao động hợp đồng chuyên môn khác) trong một năm từ 20 tỷ đồng trở lên hoặc ..."
169221,44209,SUA_DOI_BO_SUNG,rule_extraction,1.0,"THÔNG TƯ Sửa đổi, bổ sung một số điều của Thông tư số 01/2014/TT-NHNN ngày 10 tháng 12 năm 2014 của Thống đốc Ngân hàng Nhà nước Việt Nam hướng dẫn"
169221,50/2014/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,Căn cứ Nghị định số 50/2014/NĐ-CP ngày 20 tháng 5 năm 2014 của Chính phủ về quản lý dự trữ ngoại hối nhà nước;
169221,102/2022/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,"Căn cứ Nghị định số 102/2022/NĐ-CP ngày 12 tháng 12 năm 2022 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nướ..."
169221,12/2023/TT-NHNN,SUA_DOI_BO_SUNG,rule_extraction,1.0,"7. Sửa đổi, bổ sung khoản 1 và khoản 5 Điều 14 (đã được sửa đổi, bổ sung bởi khoản 11 Điều 1 Thông tư số 12/2023/TT-NHNN ngày 12/10/2023 của Thống đốc Ngân hàng Nhà nước Việt Nam sửa đổi, bổ sung một số điều của các văn bản quy phạm pháp lu..."
169221,12/2023/TT-NHNN,THAM_CHIEU,rule_extraction,0.95,...ông nhiệm vụ hạch toán giữa Cục Quản lý dự trữ ngoại hối nhà nước và Sở Giao dịch theo quy định tại Điều 13 Thông tư số 12/2023/TT-NHNN:
169221,01/2020/TT-NHNN,SUA_DOI_BO_SUNG,rule_extraction,1.0,"13. Sửa đổi, bổ sung điểm a và điểm c khoản 2 Điều 30 (đã được sửa đổi, bổ sung bởi khoản 13 Điều 1 Thông tư số 01/2020/TT-NHNN ngày 31/12/2020 của Thống đốc Ngân hàng Nhà nước Việt Nam sửa đổi, bổ sung một số điều của Thông tư 01/2014/TT-NHNN ngà..."
01/2020/TT-NHNN,169221,THAY_THE_BOI,rule_extraction,1.0,"...9/2024. 2. Thông tư này bãi bỏ khoản 3, khoản 4, khoản 5, khoản 9, khoản 16 Điều 1, khoản 3, khoản 4 Điều 2 Thông tư số 01/2020/TT-NHNN."
12/2023/TT-NHNN,169221,THAY_THE_BOI,rule_extraction,1.0,"... khoản 3, khoản 4, khoản 5, khoản 6, khoản 8, khoản 12 và khoản 16, điểm b khoản 20 Điều 1 và Phụ lục số 09 Thông tư số 12/2023/TT-NHNN. Nơi nhận:"
95652,2015/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,"135 /2015/NĐ-CP Hà Nội, ngày 31 tháng 12 năm 2015"
f69936f0-6937-11f1-a48d-29bc6b0fd706,146468,SUA_DOI_BO_SUNG,rule_extraction,1.0,Nghị định số 156/2020/NĐ-CP ngày 31 tháng 12 năm 2020 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường ch...
f69936f0-6937-11f1-a48d-29bc6b0fd706,128/2021/NĐ-CP,SUA_DOI_BO_SUNG,rule_extraction,1.0,"Nghị định số 128/2021/NĐ-CP ngày 30 tháng 12 năm 2021 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 156/2020/NĐ-CP ngày 31 tháng 12 n..."
f69936f0-6937-11f1-a48d-29bc6b0fd706,306/2025/NĐ-CP,SUA_DOI_BO_SUNG,rule_extraction,1.0,"Nghị định số 306/2025/NĐ-CP ngày 25 tháng 11 năm 2025 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 156/2020/NĐ-CP ngày 31 tháng 12 n..."
f69936f0-6937-11f1-a48d-29bc6b0fd706,158/2020/NĐ-CP,SUA_DOI_BO_SUNG,rule_extraction,1.0,"... sửa đổi, bổ sung một số điều theo Nghị định số 128/2021/NĐ-CP ngày 30 tháng 12 năm 2021 của Chính phủ) và Nghị định số 158/2020/NĐ-CP ngày 31 tháng 12 năm 2020 của Chính phủ về chứng khoán phái sinh và thị trường chứng khoán phái sinh, có hiệu lực thi h..."
f69936f0-6937-11f1-a48d-29bc6b0fd706,155/2020/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,...úng thực hiện thông báo thay đổi tỷ lệ sở hữu nước ngoài tối đa không đúng thời gian quy định tại Điều 141 Nghị định số 155/2020/NĐ-CP ngày 31 tháng 12 năm 2020 của Chính phủ quy định chi tiết thi hành một số điều của Luật Chứng khoán.
f69936f0-6937-11f1-a48d-29bc6b0fd706,108/2013/NĐ-CP,SUA_DOI_BO_SUNG,rule_extraction,1.0,1. Nghị định này có hiệu lực thi hành từ ngày 01 tháng 01 năm 2021. 2. Nghị định số 108/2013/NĐ-CP ngày 23 tháng 9 năm 2013 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứ...
f69936f0-6937-11f1-a48d-29bc6b0fd706,145/2016/NĐ-CP,SUA_DOI_BO_SUNG,rule_extraction,1.0,"... của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán và Nghị định số 145/2016/NĐ-CP ngày 01 tháng 11 năm 2016 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 108/2013/NĐ-CP ngày 23 tháng 9 nă..."
30402,26750,THAM_CHIEU,rule_extraction,0.95,Căn cứ Luật Kiểm toán độc lập số 67/2011/QH12 ngày 29 tháng 3 năm 2011;
30402,17/2012/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,Căn cứ Nghị định số 17/2012/NĐ-CP
30402,118/2008/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,Căn cứ Nghị định số 118/2008/NĐ-CP
30402,01/ĐKHN,THAM_CHIEU,rule_extraction,0.95,... ký hành nghề kiểm toán 1. Đơn đề nghị cấp Giấy chứng nhận đăng ký hành nghề kiểm toán theo mẫu quy định tại Phụ lục số 01/ĐKHN ban hành kèm theo Thông tư này. 2. Bản sao hợp đồng lao động làm toàn bộ thời gian tại doanh nghiệp kiểm toán.
30402,04/ĐKHN,THAM_CHIEU,rule_extraction,0.95,...i gian tại doanh nghiệp kiểm toán. 3. Giấy xác nhận về thời gian thực tế làm kiểm toán theo mẫu quy định tại Phụ lục số 04/ĐKHN ban hành kèm theo Thông tư này hoặc tài liệu chứng minh về thời gian thực tế làm kiểm toán hoặc Bản giải trình kèm theo...
30402,05/ĐKHN,THAM_CHIEU,rule_extraction,0.95,4. Bản thông tin cá nhân theo mẫu quy định tại Phụ lục số 05/ĐKHN ban hành kèm theo Thông tư này.
30402,06/ĐKHN,THAM_CHIEU,rule_extraction,0.95,...n đăng ký hành nghề kiểm toán cho các kiểm toán viên đăng ký hành nghề tại đơn vị mình theo mẫu quy định tại Phụ lục số 06/ĐKHN ban hành kèm theo Thông tư này kèm theo hồ sơ đăng ký hành nghề của từng kiểm toán viên. Hồ sơ gửi trực tiếp hoặc gửi q...
30402,07/ĐKHN,THAM_CHIEU,rule_extraction,0.95,3. Mẫu Giấy chứng nhận đăng ký hành nghề kiểm toán được quy định tại Phụ lục số 07/ĐKHN ban hành kèm theo Thông tư này. Điều 7. Cấp và sử dụng Giấy chứng nhận đăng ký hành nghề kiểm toán
30402,02/ĐKHN,THAM_CHIEU,rule_extraction,0.95,a) Đơn đề nghị cấp lại Giấy chứng nhận đăng ký hành nghề kiểm toán theo mẫu quy định tại Phụ lục số 02/ĐKHN ban hành kèm theo Thông tư này;
30402,03/ĐKHN,THAM_CHIEU,rule_extraction,0.95,a) Đơn đề nghị điều chỉnh Giấy chứng nhận đăng ký hành nghề kiểm toán theo mẫu quy định tại Phụ lục số 03/ĐKHN ban hành kèm theo Thông tư này;
30402,10/ĐKHN,THAM_CHIEU,rule_extraction,0.95,...ều kiện hành nghề kiểm toán hàng năm cho Bộ Tài chính thông qua doanh nghiệp kiểm toán theo mẫu quy định tại Phụ lục số 10/ĐKHN ban hành kèm theo Thông tư này.
30402,08/ĐKHN,THAM_CHIEU,rule_extraction,0.95,"...iá trị đối với các trường hợp quy định tại điểm d, đ, e, h khoản 1 Điều 8 Thông tư này theo mẫu quy định tại Phụ lục số 08/ĐKHN ban hành kèm theo Thông tư này."
30402,11/ĐKHN,THAM_CHIEU,rule_extraction,0.95,... hành nghề kiểm toán hàng năm của các kiểm toán viên đăng ký hành nghề tại đơn vị mình theo mẫu quy định tại Phụ lục số 11/ĐKHN ban hành kèm theo Thông tư này kèm theo Báo cáo duy trì điều kiện hành nghề kiểm toán hàng năm của từng kiểm toán viên ...
30402,09/ĐKHN,THAM_CHIEU,rule_extraction,0.95,...giữa trụ sở chính với các chi nhánh hoặc giữa các chi nhánh của doanh nghiệp kiểm toán theo mẫu quy định tại Phụ lục số 09/ĐKHN ban hành kèm theo Thông tư này.
30402,64/2004/TT-BTC,THAM_CHIEU,rule_extraction,0.95,...quy định về đăng ký hành nghề kiểm toán của kiểm toán viên và quản lý kiểm toán viên hành nghề quy định tại Thông tư số 64/2004/TT-BTC ngày 29/6/2004 hướng dẫn thi hành một số điều của Nghị định số 105/2004/NĐ-CP ngày 30/3/2004 của Chính phủ về kiểm toán...
30402,105/2004/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,...n viên hành nghề quy định tại Thông tư số 64/2004/TT-BTC ngày 29/6/2004 hướng dẫn thi hành một số điều của Nghị định số 105/2004/NĐ-CP ngày 30/3/2004 của Chính phủ về kiểm toán độc lập hết hiệu lực kể từ ngày Thông tư này có hiệu lực thi hành. Điều 18. T...
173460,102/2022/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,"Căn cứ Luật Các tổ chức tín dụng ngày 18 tháng 01 năm 2024; Căn cứ Nghị định số 102/2022/NĐ-CP ngày 12 tháng 12 năm 2022 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nướ..."
173460,162/2024/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,"Căn cứ Nghị định số 162/2024/NĐ-CP ngày 20 tháng 12 năm 2024 của Chính phủ quy định điều kiện cấp Giấy phép đối với quỹ tín dụng nhân dân, tổ chức tài chí..."
27257,25692,THAM_CHIEU,rule_extraction,0.95,"của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Luật Các tổ chức tín dụng số 47/2010/QH12 ngày 16 tháng 6 năm 2010;"
27257,47/2010/QH12,THAM_CHIEU,rule_extraction,0.95,Căn cứ Luật Các tổ chức tín dụng số 47/2010/QH12 ngày 16 tháng 6 năm 2010;
27257,96/2008/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,"Căn cứ Luật Các tổ chức tín dụng số 47/2010/QH12 ngày 16 tháng 6 năm 2010; Căn cứ Nghị định số 96/2008/NĐ-CP ngày 26/8/2008 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam;"
27257,36/2006/QĐ-NHNN,THAM_CHIEU,gemini_classification,0.9,"1. Thông tư này có hiệu lực thi hành kể từ ngày 12 tháng 02 năm 2012. 2. Quyết định số 36/2006/QĐ-NHNN ngày 01/8/2006 của Thống đốc Ngân hàng Nhà nước ban hành Quy chế kiểm tra, kiểm soát nội bộ của tổ chức tín dụng và Quy..."
27257,37/2006/QĐ-NHNN,THAM_CHIEU,gemini_classification,0.9,"...2006 của Thống đốc Ngân hàng Nhà nước ban hành Quy chế kiểm tra, kiểm soát nội bộ của tổ chức tín dụng và Quyết định số 37/2006/QĐ-NHNN ngày 01/8/2006 của Thống đốc Ngân hàng Nhà nước ban hành Quy chế kiểm toán nội bộ của tổ chức tín dụng hết hiệu lực kể ..."
143217,88/2015/QH,THAM_CHIEU,rule_extraction,0.95,Ban hành Quy chế mẫu về kiểm toán nội bộ áp dụng cho doanh nghiệp Căn cứ Luật kế toán số 88/2015/QH 13 ngày 20 tháng 11 năm 2015;
143217,133858,THAM_CHIEU,rule_extraction,0.95,Căn cứ Luật kế toán số 88/2015/QH 13 ngày 20 tháng 11 năm 2015; Căn cứ Nghị định số 05/2019/NĐ-CP ngày 22 thảng 01 năm 2019 của Chính phủ về kiếm toán nội bộ; Căn cứ Nghị định số
143217,87/2017/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,Căn cứ Nghị định số 87/2017/NĐ-CP
168859,102/2022/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,"Căn cứ Luật Hợp tác xã ngày 17 tháng 6 năm 2023; Căn cứ Nghị định số 102/2022/NĐ-CP ngày 12 tháng 12 năm 2022 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nướ..."
168859,06/2007/TT-NHNN,SUA_DOI_BO_SUNG,rule_extraction,1.0,"...hân dân hoạt động theo ngành nghề, quỹ tín dụng nhân dân hoạt động theo từng doanh nghiệp được quy định tại Thông tư số 06/2007/TT-NHNN ngày 06 tháng 11 năm 2007 của Thống đốc Ngân hàng Nhà nước sửa đổi, bổ sung Thông tư số 08/2005/TT-NHNN ngày 30 tháng 1..."
168859,08/2005/TT-NHNN,SUA_DOI_BO_SUNG,rule_extraction,1.0,"...tại Thông tư số 06/2007/TT-NHNN ngày 06 tháng 11 năm 2007 của Thống đốc Ngân hàng Nhà nước sửa đổi, bổ sung Thông tư số 08/2005/TT-NHNN ngày 30 tháng 12 năm 2005 của Ngân hàng Nhà nước hướng dẫn thực hiện Nghị định số 48/2001/NĐ-CP ngày 13/8/2001 về tổ ch..."
168859,48/2001/NĐ-CP,SUA_DOI_BO_SUNG,rule_extraction,1.0,"..., bổ sung Thông tư số 08/2005/TT-NHNN ngày 30 tháng 12 năm 2005 của Ngân hàng Nhà nước hướng dẫn thực hiện Nghị định số 48/2001/NĐ-CP ngày 13/8/2001 về tổ chức và hoạt động của quỹ tín dụng nhân dân và Nghị định số 69/2005/NĐ-CP"
168859,69/2005/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,69/2005/NĐ-CP
168859,48/2001/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,48/2001/NĐ-CP
04/2015/TT-NHNN,168859,THAY_THE_BOI,rule_extraction,1.0,2. Thông tư này bãi bỏ: a) Thông tư 04/2015/TT-NHNN ngày 31/03/2015 của Thống đốc Ngân hàng Nhà nước quy định về quỹ tín dụng nhân dân;
168859,06/2017/TT-NHNN,SUA_DOI_BO_SUNG,rule_extraction,1.0,"b) Thông tư số 06/2017/TT-NHNN ngày 05/7/2017 của Thống đốc Ngân hàng sửa đổi, bổ sung một số điều của Thông tư số 03/2014/TT-NHNN ngày 23/01/2014 của..."
168859,03/2014/TT-NHNN,SUA_DOI_BO_SUNG,rule_extraction,1.0,"b) Thông tư số 06/2017/TT-NHNN ngày 05/7/2017 của Thống đốc Ngân hàng sửa đổi, bổ sung một số điều của Thông tư số 03/2014/TT-NHNN ngày 23/01/2014 của Thống đốc Ngân hàng Nhà nước quy định về quỹ bảo đảm an toàn hệ thống quỹ tín dụng nhân dân và Thôn..."
168859,04/2015/TT-NHNN,SUA_DOI_BO_SUNG,rule_extraction,1.0,.../01/2014 của Thống đốc Ngân hàng Nhà nước quy định về quỹ bảo đảm an toàn hệ thống quỹ tín dụng nhân dân và Thông tư số 04/2015/TT-NHNN ngày 31/03/2015 của Thống đốc Ngân hàng Nhà nước quy định về quỹ tín dụng nhân dân;
168859,21/2019/TT-NHNN,SUA_DOI_BO_SUNG,rule_extraction,1.0,"c) Điều 2, khoản 1 Điều 6 Thông tư 21/2019/TT-NHNN ngày 14/11/2019 của Thống đốc Ngân hàng Nhà nước sửa đổi, bổ sung một số điều của các Thông tư quy định về ngân hàng hợ..."
168859,01/2023/TT-NHNN,SUA_DOI_BO_SUNG,rule_extraction,1.0,"d) Thông tư số 01/2023/TT-NHNN ngày 01/3/2023 của Thống đốc Ngân hàng Nhà nước sửa đổi, bổ sung một số điều của Thông tư số 04/2015/TT-NHNN ngày 31/3/..."
168859,24/2023/TT,SUA_DOI_BO_SUNG,rule_extraction,1.0,"đ) Điều 2 Thông tư số 24/2023/TT- NHNN ngày 29/12/2023 của Thống đốc Ngân hàng Nhà nước sửa đổi, bổ sung một số điều của các Thông tư liên quan đến việc..."
150974,8/2021/TT-BTC,THAM_CHIEU,rule_extraction,0.95,"Độc lập - Tự do - Hạnh phúc Số: 8/2021/TT-BTC Hà Nội, ngày 25 tháng 01 năm 2021"
150974,88/2015/QH13,THAM_CHIEU,rule_extraction,0.95,‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾ Căn cứ Luật kế toán số 88/2015/QH13 ngày 20 tháng 11 năm 2015;
150974,133858,THAM_CHIEU,rule_extraction,0.95,Căn cứ Luật kế toán số 88/2015/QH13 ngày 20 tháng 11 năm 2015; Căn cứ Nghị định 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiểm toán nội bộ;
150974,87/2017/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,"Căn cứ Nghị định số 87/2017/NĐ-CP ngày 26 tháng 7 năm 2017 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Tài chính; Theo..."
164719,117310,SUA_DOI_BO_SUNG,rule_extraction,1.0,"Sửa đổi, bổ sung một số điều của Thông tư số 41/2016/TT-NHNN"
164719,102/2022/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,Căn cứ Nghị định số 102/2022/NĐ-CP
164719,117310,THAM_CHIEU,rule_extraction,0.95,41/2016/TT-NHNN
173695,102/2022/NĐ-CP,THAM_CHIEU,rule_extraction,0.95,Căn cứ Nghị định số 102/2022/NĐ-CP
173695,162/NĐ-CP,THAM_CHIEU,gemini_classification,0.9,Nghị định số 162/NĐ-CP ngày 20 tháng 12 năm 2024 của Chính phủ
186482,25692,THAM_CHIEU,rule_extraction,0.95,đơn giản hóa thủ tục hành chính Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12;
