entity_id,entity_type,canonical_name,original_name,source_doc_id,method,confidence,evidence
ENT_COQUAN_001,CoQuan,Bộ Tài chính,Bộ Tài chính,f69936f0-6937-11f1-a48d-29bc6b0fd706,original,1.0,Metadata co_quan_ban_hanh: Bộ Tài chính
ENT_NGUOIKY_006,NguoiKy,Nguyễn Đức Chi,Nguyễn Đức Chi,f69936f0-6937-11f1-a48d-29bc6b0fd706,original,1.0,Metadata nguoi_ky: Nguyễn Đức Chi (Thứ trưởng)
ENT_COQUAN_001,CoQuan,Bộ Tài chính,Bộ Tài chính,30402,original,1.0,Metadata co_quan_ban_hanh: Bộ Tài chính
ENT_NGUOIKY_009,NguoiKy,Trần Xuân Hà,Trần Xuân Hà,30402,original,1.0,Metadata nguoi_ky: Trần Xuân Hà (Thứ trưởng)
ENT_LINHVUC_007,LinhVuc,Quản lý dịch vụ tài chính và các quỹ tài chính,Quản lý dịch vụ tài chính và các quỹ tài chính,30402,original,1.0,Metadata linh_vuc: Quản lý dịch vụ tài chính và các quỹ tài chính
ENT_COQUAN_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,173460,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
ENT_NGUOIKY_012,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,173460,original,1.0,Metadata nguoi_ky: Đoàn Thái Sơn (Phó Thống đốc)
ENT_LINHVUC_009,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",173460,original,1.0,"Metadata linh_vuc: Thanh tra, giám sát ngân hàng"
ENT_COQUAN_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,27257,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
ENT_NGUOIKY_008,NguoiKy,Trần Minh Tuấn,Trần Minh Tuấn,27257,original,1.0,Metadata nguoi_ky: Trần Minh Tuấn (Phó Thống đốc)
ENT_COQUAN_001,CoQuan,Bộ Tài chính,Bộ Tài chính,143217,original,1.0,Metadata co_quan_ban_hanh: Bộ Tài chính
ENT_COQUAN_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,168859,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
ENT_NGUOIKY_013,NguoiKy,Đào Minh Tú,Đào Minh Tú,168859,original,1.0,Metadata nguoi_ky: Đào Minh Tú (Phó Thống đốc)
ENT_LINHVUC_009,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",168859,original,1.0,"Metadata linh_vuc: Thanh tra, giám sát ngân hàng"
ENT_COQUAN_001,CoQuan,Bộ Tài chính,Bộ Tài chính,150974,original,1.0,Metadata co_quan_ban_hanh: Bộ Tài chính
ENT_NGUOIKY_010,NguoiKy,Tạ Anh Tuấn,Tạ Anh Tuấn,150974,original,1.0,Metadata nguoi_ky: Tạ Anh Tuấn (Thứ trưởng)
ENT_LINHVUC_004,LinhVuc,Kiểm toán,"Kế toán, kiểm toán",150974,original,1.0,"Metadata linh_vuc: Kế toán, kiểm toán"
ENT_COQUAN_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,164719,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
ENT_NGUOIKY_012,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,164719,original,1.0,Metadata nguoi_ky: Đoàn Thái Sơn (Phó Thống đốc Ngân hàng Nhà nước Việt Nam)
ENT_LINHVUC_009,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",164719,original,1.0,"Metadata linh_vuc: Thanh tra, giám sát ngân hàng"
ENT_COQUAN_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,173695,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
ENT_NGUOIKY_012,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,173695,original,1.0,Metadata nguoi_ky: Đoàn Thái Sơn (Phó Thống đốc)
ENT_LINHVUC_009,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",173695,original,1.0,"Metadata linh_vuc: Thanh tra, giám sát ngân hàng"
ENT_COQUAN_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,186482,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
ENT_NGUOIKY_012,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,186482,original,1.0,Metadata nguoi_ky: Đoàn Thái Sơn (Phó Thống đốc)
ENT_LINHVUC_003,LinhVuc,Cục An toàn hệ thống các tổ chức tín dụng,Cục An toàn hệ thống các tổ chức tín dụng,186482,original,1.0,Metadata linh_vuc: Cục An toàn hệ thống các tổ chức tín dụng
ENT_COQUAN_001,CoQuan,Bộ Tài chính,Bộ Tài chính,112924,original,1.0,Metadata co_quan_ban_hanh: Bộ Tài chính
ENT_NGUOIKY_009,NguoiKy,Trần Xuân Hà,Trần Xuân Hà,112924,original,1.0,Metadata nguoi_ky: Trần Xuân Hà (Thứ trưởng)
ENT_COQUAN_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,174218,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
ENT_NGUOIKY_012,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,174218,original,1.0,Metadata nguoi_ky: Đoàn Thái Sơn (Phó Thống đốc)
ENT_LINHVUC_009,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",174218,original,1.0,"Metadata linh_vuc: Thanh tra, giám sát ngân hàng"
ENT_COQUAN_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,186888,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
ENT_NGUOIKY_012,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,186888,original,1.0,Metadata nguoi_ky: Đoàn Thái Sơn (Phó Thống đốc)
ENT_LINHVUC_003,LinhVuc,Cục An toàn hệ thống các tổ chức tín dụng,Cục An toàn hệ thống các tổ chức tín dụng,186888,original,1.0,Metadata linh_vuc: Cục An toàn hệ thống các tổ chức tín dụng
ENT_COQUAN_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
ENT_NGUOIKY_012,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,original,1.0,Metadata nguoi_ky: Đoàn Thái Sơn (Phó Thống đốc)
ENT_COQUAN_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,185630,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
ENT_NGUOIKY_012,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,185630,original,1.0,Metadata nguoi_ky: Đoàn Thái Sơn (Phó Thống đốc)
ENT_LINHVUC_005,LinhVuc,"Lao động, tiền lương, tiền công","Lao động, tiền lương, tiền công",185630,original,1.0,"Metadata linh_vuc: Lao động, tiền lương, tiền công"
ENT_COQUAN_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,117310,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
ENT_NGUOIKY_005,NguoiKy,Nguyễn Đồng Tiến,Nguyễn Đồng Tiến,117310,original,1.0,Metadata nguoi_ky: Nguyễn Đồng Tiến (Phó Thống đốc)
ENT_LINHVUC_009,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",117310,original,1.0,"Metadata linh_vuc: Thanh tra, giám sát ngân hàng"
ENT_COQUAN_004,CoQuan,Quốc hội,Quốc hội,166269,original,1.0,Metadata co_quan_ban_hanh: Quốc hội
ENT_NGUOIKY_011,NguoiKy,Vương Đình Huệ,Vương Đình Huệ,166269,original,1.0,Metadata nguoi_ky: Vương Đình Huệ (Chủ tịch Quốc hội)
ENT_COQUAN_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,177271,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
ENT_NGUOIKY_012,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,177271,original,1.0,Metadata nguoi_ky: Đoàn Thái Sơn (Phó Thống đốc)
ENT_LINHVUC_003,LinhVuc,Cục An toàn hệ thống các tổ chức tín dụng,Cục An toàn hệ thống các tổ chức tín dụng,177271,original,1.0,Metadata linh_vuc: Cục An toàn hệ thống các tổ chức tín dụng
ENT_COQUAN_003,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,44209,original,1.0,Metadata co_quan_ban_hanh: Ngân hàng Nhà nước Việt Nam
ENT_NGUOIKY_013,NguoiKy,Đào Minh Tú,Đào Minh Tú,44209,original,1.0,Metadata nguoi_ky: Đào Minh Tú (Phó Thống đốc)
ENT_LINHVUC_006,LinhVuc,Phát hành và kho quỹ,Phát hành và kho quỹ,44209,original,1.0,Metadata linh_vuc: Phát hành và kho quỹ
ENT_COQUAN_004,CoQuan,Quốc hội,Quốc hội,25692,original,1.0,Metadata co_quan_ban_hanh: Quốc hội
ENT_NGUOIKY_002,NguoiKy,Nguyễn Phú Trọng,Nguyễn Phú Trọng,25692,original,1.0,Metadata nguoi_ky: Nguyễn Phú Trọng (Chủ tịch Quốc hội)
ENT_DOITUONGAPDUNG_035,DoiTuongApDung,Đối tượng áp dụng 1,Đối tượng áp dụng 1,166170,rule_extraction,0.95,"Điều 2. Đối tượng áp dụng 1. Tổ chức tín dụng. 2. Chi nhánh ngân hàng nước ngoài. 3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài). 4. Tổ"
ENT_DOITUONGAPDUNG_002,DoiTuongApDung,Chi nhánh ngân hàng nước ngoài,Chi nhánh ngân hàng nước ngoài,166170,rule_extraction,0.95,"Điều 2. Đối tượng áp dụng 1. Tổ chức tín dụng. 2. Chi nhánh ngân hàng nước ngoài. 3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài). 4. Tổ"
ENT_DOITUONGAPDUNG_024,DoiTuongApDung,"Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ (sau đây gọi là tổ chức mua bán, xử lý nợ)","Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ (sau đây gọi là tổ chức mua bán, xử lý nợ)",166170,rule_extraction,0.95,"Điều 2. Đối tượng áp dụng 1. Tổ chức tín dụng. 2. Chi nhánh ngân hàng nước ngoài. 3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài). 4. Tổ"
ENT_DOITUONGAPDUNG_019,DoiTuongApDung,Phạm vi và đối tượng áp dụng 1,Phạm vi và đối tượng áp dụng 1,112025,rule_extraction,0.95,"Điều 1. Phạm vi và đối tượng áp dụng 1. Nghị định này quy định chi tiết và hướng dẫn thi hành một số điều của Luật kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một số điều của Luật kinh doanh bảo hiểm bao gồm: a) Thành lập và hoạt động của các doanh "
ENT_DOITUONGAPDUNG_004,DoiTuongApDung,"Chế độ quản lý tài chính đối với các doanh nghiệp bảo hiểm, chi nhánh nước ngoài, doanh nghiệp môi giới bảo hiểm","Chế độ quản lý tài chính đối với các doanh nghiệp bảo hiểm, chi nhánh nước ngoài, doanh nghiệp môi giới bảo hiểm",112025,rule_extraction,0.95,"Điều 1. Phạm vi và đối tượng áp dụng 1. Nghị định này quy định chi tiết và hướng dẫn thi hành một số điều của Luật kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một số điều của Luật kinh doanh bảo hiểm bao gồm: a) Thành lập và hoạt động của các doanh "
ENT_DOITUONGAPDUNG_003,DoiTuongApDung,Chi nhánh nước ngoài,Chi nhánh nước ngoài,112025,rule_extraction,0.95,"Điều 1. Phạm vi và đối tượng áp dụng 1. Nghị định này quy định chi tiết và hướng dẫn thi hành một số điều của Luật kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một số điều của Luật kinh doanh bảo hiểm bao gồm: a) Thành lập và hoạt động của các doanh "
ENT_DOITUONGAPDUNG_015,DoiTuongApDung,"Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm","Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm",112025,rule_extraction,0.95,"Điều 1. Phạm vi và đối tượng áp dụng 1. Nghị định này quy định chi tiết và hướng dẫn thi hành một số điều của Luật kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một số điều của Luật kinh doanh bảo hiểm bao gồm: a) Thành lập và hoạt động của các doanh "
ENT_DOITUONGAPDUNG_010,DoiTuongApDung,"Các tổ chức, cá nhân khác có liên quan","Các tổ chức, cá nhân khác có liên quan",112025,rule_extraction,0.95,"Điều 1. Phạm vi và đối tượng áp dụng 1. Nghị định này quy định chi tiết và hướng dẫn thi hành một số điều của Luật kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một số điều của Luật kinh doanh bảo hiểm bao gồm: a) Thành lập và hoạt động của các doanh "
ENT_DOITUONGAPDUNG_035,DoiTuongApDung,Đối tượng áp dụng 1,Đối tượng áp dụng 1,38128,rule_extraction,0.95,"Điều 2. Đối tượng áp dụng 1. Các đơn vị có liên quan thuộc Ngân hàng Nhà nước. 2. Nhà máy in tiền Quốc gia. 3. Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền."
ENT_DOITUONGAPDUNG_018,DoiTuongApDung,Nhà máy in tiền Quốc gia,Nhà máy in tiền Quốc gia,38128,rule_extraction,0.95,"Điều 2. Đối tượng áp dụng 1. Các đơn vị có liên quan thuộc Ngân hàng Nhà nước. 2. Nhà máy in tiền Quốc gia. 3. Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền."
ENT_DOITUONGAPDUNG_034,DoiTuongApDung,"Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền","Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền",38128,rule_extraction,0.95,"Điều 2. Đối tượng áp dụng 1. Các đơn vị có liên quan thuộc Ngân hàng Nhà nước. 2. Nhà máy in tiền Quốc gia. 3. Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền."
ENT_DOITUONGAPDUNG_035,DoiTuongApDung,Đối tượng áp dụng 1,Đối tượng áp dụng 1,163441,rule_extraction,0.95,"Điều 2. Đối tượng áp dụng 1. Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chứ"
ENT_DOITUONGAPDUNG_001,DoiTuongApDung,"Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng 4","Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng 4",163441,rule_extraction,0.95,"Điều 2. Đối tượng áp dụng 1. Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chứ"
ENT_DOITUONGAPDUNG_028,DoiTuongApDung,Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm,Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm,163441,rule_extraction,0.95,"Điều 2. Đối tượng áp dụng 1. Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chứ"
ENT_DOITUONGAPDUNG_035,DoiTuongApDung,Đối tượng áp dụng 1,Đối tượng áp dụng 1,168220,rule_extraction,0.95,"Điều 2. Đối tượng áp dụng 1. Ngân hàng hợp tác xã. 2. Quỹ tín dụng nhân dân. 3. Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này."
ENT_DOITUONGAPDUNG_021,DoiTuongApDung,Quỹ tín dụng nhân dân,Quỹ tín dụng nhân dân,168220,rule_extraction,0.95,"Điều 2. Đối tượng áp dụng 1. Ngân hàng hợp tác xã. 2. Quỹ tín dụng nhân dân. 3. Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này."
ENT_DOITUONGAPDUNG_030,DoiTuongApDung,"Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này","Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này",168220,rule_extraction,0.95,"Điều 2. Đối tượng áp dụng 1. Ngân hàng hợp tác xã. 2. Quỹ tín dụng nhân dân. 3. Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này."
ENT_DOITUONGAPDUNG_035,DoiTuongApDung,Đối tượng áp dụng 1,Đối tượng áp dụng 1,133858,rule_extraction,0.95,"Điều 2. Đối tượng áp dụng 1. Đối tượng áp dụng Nghị định này bao gồm: a) Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ; b) Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương; c) Các đơn vị sự nghiệp công lập; d) Các doanh nghiệp; đ) Các tổ"
ENT_DOITUONGAPDUNG_006,DoiTuongApDung,"Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ","Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ",133858,rule_extraction,0.95,"Điều 2. Đối tượng áp dụng 1. Đối tượng áp dụng Nghị định này bao gồm: a) Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ; b) Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương; c) Các đơn vị sự nghiệp công lập; d) Các doanh nghiệp; đ) Các tổ"
ENT_DOITUONGAPDUNG_037,DoiTuongApDung,"Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương","Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương",133858,rule_extraction,0.95,"Điều 2. Đối tượng áp dụng 1. Đối tượng áp dụng Nghị định này bao gồm: a) Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ; b) Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương; c) Các đơn vị sự nghiệp công lập; d) Các doanh nghiệp; đ) Các tổ"
ENT_DOITUONGAPDUNG_013,DoiTuongApDung,Các đơn vị sự nghiệp công lập,Các đơn vị sự nghiệp công lập,133858,rule_extraction,0.95,"Điều 2. Đối tượng áp dụng 1. Đối tượng áp dụng Nghị định này bao gồm: a) Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ; b) Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương; c) Các đơn vị sự nghiệp công lập; d) Các doanh nghiệp; đ) Các tổ"
ENT_DOITUONGAPDUNG_008,DoiTuongApDung,Các doanh nghiệp,Các doanh nghiệp,133858,rule_extraction,0.95,"Điều 2. Đối tượng áp dụng 1. Đối tượng áp dụng Nghị định này bao gồm: a) Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ; b) Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương; c) Các đơn vị sự nghiệp công lập; d) Các doanh nghiệp; đ) Các tổ"
ENT_DOITUONGAPDUNG_011,DoiTuongApDung,"Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ","Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ",133858,rule_extraction,0.95,"Điều 2. Đối tượng áp dụng 1. Đối tượng áp dụng Nghị định này bao gồm: a) Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ; b) Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương; c) Các đơn vị sự nghiệp công lập; d) Các doanh nghiệp; đ) Các tổ"
ENT_DOITUONGAPDUNG_035,DoiTuongApDung,Đối tượng áp dụng 1,Đối tượng áp dụng 1,95652,rule_extraction,0.95,Điều 2. Đối tượng áp dụng 1. Nhà đầu tư gồm các đối tượng sau: a) Tổ chức kinh tế theo quy định tại Khoản 16 Điều 3 Luật Đầu tư; b) Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài. 2. Cá
ENT_DOITUONGAPDUNG_023,DoiTuongApDung,Tổ chức kinh tế theo quy định tại Khoản 16 Điều 3 Luật Đầu tư,Tổ chức kinh tế theo quy định tại Khoản 16 Điều 3 Luật Đầu tư,95652,rule_extraction,0.95,Điều 2. Đối tượng áp dụng 1. Nhà đầu tư gồm các đối tượng sau: a) Tổ chức kinh tế theo quy định tại Khoản 16 Điều 3 Luật Đầu tư; b) Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài. 2. Cá
ENT_DOITUONGAPDUNG_005,DoiTuongApDung,Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài,Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài,95652,rule_extraction,0.95,Điều 2. Đối tượng áp dụng 1. Nhà đầu tư gồm các đối tượng sau: a) Tổ chức kinh tế theo quy định tại Khoản 16 Điều 3 Luật Đầu tư; b) Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài. 2. Cá
ENT_DOITUONGAPDUNG_007,DoiTuongApDung,Các cơ quan quản lý nhà nước tham gia quản lý hoạt động đầu tư gián tiếp ra nước ngoài theo quy định tại Nghị định này,Các cơ quan quản lý nhà nước tham gia quản lý hoạt động đầu tư gián tiếp ra nước ngoài theo quy định tại Nghị định này,95652,rule_extraction,0.95,Điều 2. Đối tượng áp dụng 1. Nhà đầu tư gồm các đối tượng sau: a) Tổ chức kinh tế theo quy định tại Khoản 16 Điều 3 Luật Đầu tư; b) Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài. 2. Cá
